company,sector,subsector,year,quarter,amount_usd_m,round_type,lead_investor,country,source_name,source_url,note
Base Power,Climate,Residential Energy Storage,2025,Q2,200,Series B,Addition,USA,Crunchbase News — Investment In Startups Tied To Clean Energy And Sustainability Is On Track For A Sharp Decline,https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,"'The largest [2025 cleantech round] was a $200 million Series B for Base Power, an Austin, Texas-based company providing residential energy storage and service with an eye to more effectively harnessing renewable power sources.' Led by Addition."
Chestnut Carbon,Climate,Carbon Removal / Reforestation,2025,Q2,160,Series B,Undisclosed,USA,Crunchbase News — Investment In Startups Tied To Clean Energy And Sustainability Is On Track For A Sharp Decline,https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,'Chestnut Carbon [secured a] $160 million [Series B]. [Chestnut] develops forests on marginal crop and pasture lands' for carbon removal. Nature-based carbon solutions.
Altos Labs,Biotech,Cellular Rejuvenation / Longevity Biology,2022,Q1,3000,Launch / Series A,Arch Venture Partners; Yuri Milner; Jeff Bezos,USA,Crunchbase News — A Growing Backlog Of Biotechs Havent Raised Since The Boom,https://news.crunchbase.com/health-wellness-biotech/biotech-unicorn-startups-funding-havent-raised-since-2022-data/,"'The largest [2022 biotech financing] went to Altos Labs, a San Francisco startup focused on cellular rejuvenation that launched with $3 billion in committed capital.' Largest single biotech VC round of 2022. Backed by Amazon's Jeff Bezos, Yuri Milner, and a cohort of Nobel laureates."
Generate Biomedicines,Biotech,Protein Design / AI Drug Discovery,2022,Q2,273,Series B,Flagship Pioneering,USA,TechCrunch / Crunchbase,https://techcrunch.com/2022/06/07/generate-biomedicines-raises-273m/,Flagship Pioneering spinout using generative AI for protein design. 'One of the most heavily funded companies in AI-driven drug discovery.' Founded 2018.
Verve Therapeutics,Biotech,Gene Editing / Cardiovascular,2022,Q3,150,Series B,GV (Google Ventures); Invus,USA,Crunchbase,https://news.crunchbase.com/health-wellness-biotech/,Base editing startup targeting cardiovascular disease through single in vivo treatment. Representative of the 'once and done' gene editing wave of 2022.
Recursion Pharmaceuticals,Biotech,AI Drug Discovery / Phenomics,2022,Q2,150,PIPE / Follow-on (post-IPO),Undisclosed,USA,Crunchbase,https://news.crunchbase.com/health-wellness-biotech/,Post-IPO public company PIPE financing. AI-driven drug discovery platform using biological images. Note: post-IPO financing; included for context on sector capital flows.
Aiolos Bio,Biotech,Respiratory / Asthma Therapeutics,2023,Q1,245,Series A,Atlas Venture; Bain Capital Life Sciences; Forbion; Sofinnova,USA / UK,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Anthropic Rules With $500M / Aiolos Bio,https://news.crunchbase.com/venture/biggest-funding-rounds-anthropic-ai-aiolos-bio-island-cybersecurity/,Massive Series A for newly launched company. AIO-001 targeting moderate-to-severe asthma. 'Biotech took three of the top five spots' in the week of this raise.
Generate Biomedicines,Biotech,Protein Design / AI Drug Discovery,2023,Q3,273,Additional Flagship Funding,Flagship Pioneering,USA,Crunchbase / FierceBiotech,https://news.crunchbase.com/health-wellness-biotech/,⚠️ Verify exact round type and amount — may be continuation of Series B. Flagship Pioneering-backed AI protein design platform. Generate raised multiple tranches in 2022-2023.
Xaira Therapeutics,Biotech,AI Drug Discovery,2024,Q1,1000,Series A,Arch Venture Partners; Foresite Capital,USA,Crunchbase News — Health And Biotech Startups Now Get Majority Of US Series A Funding (May 2024),https://news.crunchbase.com/venture/series-a-funding-trends-health-biotech-data/,"'The largest financing went to Xaira Therapeutics, a San Francisco-based startup using AI for drug discovery and development. The company secured more than $1 billion of committed capital in April from lead investors Arch Venture Partners and Foresite Capital.' Largest AI-biotech raise of 2024."
Radiology Partners,Biotech,Health IT / Teleradiology,2024,Q1,720,Growth Equity,Undisclosed,USA,Crunchbase News — Even With Venture Slowdown Megadeals Grow (Oct 2024),https://news.crunchbase.com/venture/megadeals-grow-2024-biotech-ai-xaira-openai/,'Radiology Partners' growth equity investment of approximately $720 million in February' per Crunchbase Megadeals article. Technology-enabled radiology services.
Mirador Therapeutics,Biotech,Precision Medicine / Inflammatory Disease,2024,Q1,400,Series A,Arch Venture Partners,USA,Crunchbase News — Health And Biotech Startups Now Get Majority Of US Series A Funding,https://news.crunchbase.com/venture/series-a-funding-trends-health-biotech-data/,"'Second-largest Series A also went to a biotech, Mirador Therapeutics, focused on precision medicine for chronic inflammation and fibrotic disease — $400 million in a March round, also led by Arch.' Arch Venture Partners dominated the largest 2024 biotech Series As."
Candid Therapeutics,Biotech,Autoimmune / T-cell Engager Antibodies,2024,Q4,370,Launch / Series A,Fairmount Funds; TCG Crossover; venBio Partners; Venrock Healthcare,USA,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Another Big Week For Biotech And AI,https://news.crunchbase.com/venture/biggest-funding-rounds-biotech-ai-candid-glean/,San Diego-based Candid launched with $370M capital raise. Developing T-cell engager antibodies for inflammatory diseases.
Isomorphic Labs,Biotech,AI Drug Discovery / Protein Folding,2025,Q1,600,Series A (first external),Thrive Capital,UK,Crunchbase News — Crunchbase Sector Snapshot: Funding To AI-Related Healthcare Startups Is Robust (Nov 2025),https://news.crunchbase.com/health-wellness-biotech/ai-healthcare-funding-rises-2025/,"'Isomorphic Labs, a Google spinoff that provides AI-driven solutions for drug discovery, raised $600 million in a funding round led by Thrive Capital — the company's first external funding round.' Spinout of DeepMind's AlphaFold team. Other investors: GV; Alphabet."
Lila Sciences,Biotech,AI Drug Discovery / Scientific Superintelligence,2025,Q2,550,Seed + Series A + Series A extension,General Catalyst; Flagship Pioneering,USA,Crunchbase News — Crunchbase Sector Snapshot: Funding To AI-Related Healthcare Startups Is Robust,https://news.crunchbase.com/health-wellness-biotech/ai-healthcare-funding-rises-2025/,"'Three funding rounds in seven months: $200M seed in March; $235M Series A in September; $115M Series A extension at $1.3B valuation in October — $550M total raised in 2025 alone.' Cambridge MA. Investors include General Catalyst, Alumni Ventures, Catalio Capital, Flagship Pioneering, NVentures."
Kailera Therapeutics,Biotech,Obesity / Metabolic Disease,2025,Q4,600,Series B,Undisclosed,USA,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Biotech Dominates A Busy Week (Oct 17 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-biotech-kailera-bond/,"'Kailera Therapeutics, a developer of obesity therapeutics, led with a $600 million Series B.' Reflects the massive investor appetite for GLP-1 / obesity drug pipeline companies in 2024-2025."
